question,answer
Was sind mögliche Arten von Organisationsstrukturen?,Klassisch (Hierarchisch); Projekt (Matrix); Team; Virtuell
Was kennzeichnet eine klassische Organisationsstruktur?,Hierarchischer Aufbau (Berichten der Abteilungsleiter an den Unternehmensleiter; Symbolisierung der Hierachie durch Pyramide)
Beschreiben Sie die Pyramide bei der klassischen Organisationsstruktur!,"von unten nach höhere Entscheidungsautorität, einigartigere Probleme, höherere Auswirkungen auf die Unternehmensziele; Nonmanagement employees < Operational management < Tactical management < Strategic management in allen Funktionsbereichen"
Was kennzeichnet die Projektbezogene Struktur?,"Produkte, Projekte und Serviceleistungen im Mittelpunkt; Teams nur temporär zusammengestellt und ein Organismus, der sich entwickeln muss"
Was kennzeichnet die Teambezogene Struktur?,"Arbeitsgruppen im Mittelpunkt; Zeitliche Begrenzung oder dauerhafter Einsatz von Teams je nach Aufgabe; z.B. Produktionsfirma, die Kindernahrung herstellt -> mehrere Produkte in unterschiedlichen Produktionseinheiten"
Was kennzeichnet die virtuelle Organisationsstruktur?,"Beschäftigung der Arbeitnehmer von Unternehmen an verschiedenen Orten; möglich, dass sich Arbeitnehmer nie face-to-face sehen; Ermöglichung kooperativer Zusammenarbeit"
Was ist bei virtuellen Teams zu beachten?,"Auswahl virtueller Teammitglieder, die sich kennen oder zumindest Einsatz von Technologien, die allen bekannt sind, um sich schneller kennen zu lernen; Auswahl Teammitglieder, die bereits gut mit anderen Mitarbeitern der Firma bekannt sind; Virtuelle Projekte am besten so unabhängig wie möglich von anderen Projekten und herausfordernd, interessant und bedeutsam"
Was sind Stärken der hierarchischen Organisationsform?,Formale Berichtswege = Klar definiert
Was sind Schwächen der hierarchischen Organisationsform?,WEnig Kontakt über die Abteilung hinaus
Was sind Stärken der Matrixorganisation?,"Mitarbeiter haben die Möglichkeit, ein breiteres Wissen aufzubauen"
Was sind Schwächen der Matrixorganisation?,Eventuell Konflikte bzgl. Prioritäten
Was sind Stärken des Projekts als Organisationsform?,Fördert Teamentscheidungen; Gute Kommunikation zwischen den Teams
Was sind Schwächen des Projekts als Organisationsform?,Mitarbeiter mit wenig Kontakt zu anderen Teammitgliedern
Was sind Stärken der virtuellen Organisationsform?,"Sicherstellung, dass die besten verfügbaren Mitarbeiter an den Problemen arbeiten"
Was sind Schwächen der virtuellen Organisationsform?,"Mitarbeiter haben kaum Gelegenheit, sich Face-to-Face zu sehen"
Was ist unter der Organisationskultur zu verstehen?,"Entstehung, Entwicklung und Einfluss kultureller Aspekte innerhalb von Organisationen; Einfluss auf das Informationssystem"
Was ist unter Organizational change zu verstehen?,"Wie planen Unternehmen Veränderungen, integrieren diese bzw. gehen mit diesen um? (z.B. Zusammenschluss von Firmen)"
Wovon hängt der Projekterfolg in erster Linie ab?,In erster Linie von Menschen und nicht von Technologie
"Welche 4 Faktoren helfen dabei, die größten Herausforderungen bei den Projekten zu meistern?","Klares Bewusstsein, konkrete Maßnahmen (Bewusstsein über bevorstehende Herausforderungen); Standardisierte Methoden, solide Ergebnisse (Verwendung ergebnisorientierter Ansatz für Veränderungen); Konzentrierte Fähigkeit, erfolgreiche Veränderungen (gezielter Ressourceneinsatz); Gezielte Investitionen, positive Wirkung (Budgetplanung für Change-Management)"
Was sind ausschlaggebende Faktoren für erfolgreiche Veränderungen?,Unterstützung durch das Top-Management; Einbindung der Mitarbeiter; Ehrliche und rechtzeitige Kommunikation; Motivierende und veränderungsfreundliche Unternehmenskultur; Change-Agents; Unterstützung Veränderung durch die Unternehmenskultur; Effiziente Schulungsprogramme; Neuausrichtung der Leistungsbewertung etc.
Was versteht man unter Umstrukturierung?,"Umgestaltung der Abläufe; Radikale Umgestaltung der Geschäftsprozesse, der Organisationsstruktur, des Informationssystems, um einen Durchbruch bei den Gesschäftsergebnissen zu erreichen"
Auf welche Weise kann Umstrukturierung erfolgen?,Sustaining Change oder Disruptive Change
Was bedeutet Sustaining Change?,"Kann helfen, die Lieferung von Rohmaterialien und den Produktionsprozess zu verbessern"
Was bedeutet Disruptive Change?,Schadet oft der Unternehmensperformance oder bringt das Unternehmen aus dem Geschäft
Was sind mögliche Probleme bei der Umstrukturierung und kontinuierlichen Verbesserung (v.a. bei schlechtem Change Management)?,Stakeholder -> Lack of productivity (Quality and productivity decrease in the beginning); Lack of expectation (Unrealistic expectations); Lack of capability (Full potential not achieved)
Was ist unter Kontinuierlicher Verbesserung zu verstehen?,"Laufende Verbesserung, um konkurrenzfähig zu bleiben bzw. ständige Suche nach Wegen, um die Geschäftsprozesse zu verbessern"
Was sind Geschäftsregeln der Kontinuierlichen Verbesserung?,Erhöhte Kundentreue; Verringerung der Kundenzufriedenheit; Reduzierung der Möglichkeit des Eindringens in den Markt durch Wettbewerber
"Nennen Sie beispielhaft Geschäftsregeln, die die Prozesse stark beeinflussen!","Bestellunssammlung, bis LKW-Ladung zusammengestellt ist -> Reduzierung Lieferkosten; Kein Akzeptieren von Bestellungen bis Sicherstellung der Kreditwürdigkeit -> Reduzieren potenzieller nicht zahlungsfähiger Kunden"
Was kennzeichent das Business Process Reengineering (BPR)?,"Radikale, größere Schritte; Top-Down Change; breiter Umfang abteilungsübergreifend; Durchführung i.d.R.  durch Externe; Ziel: großer Durchbruch"
Was kennzeichnet  die Kontinuierliche Verbesserung?,"Langsame, kleinere Schritte; Bottom-Up Change; geringerer Umfang mit Fokus auf bestimmten Bereich; Durchführung i.d.R. durch dem Unternehmen nahestehende Personen; Ziel: kontinuierliche Verbesserungen"
Was beschreibt das Technology Acceptance Model (TAM)?,"Faktoren, die zu einer höheren Akzeptanz und Gebrauch der Technologie führen"
Was wird unter Technologiediffusion verstanden?,Messung der Verbreitung von Technologie innerhalb des Unternehmens
Wie ist Technologieinfusion zu definieren?,Bis zu welchem Ausmaß hat sich die Technologie innerhalb einer Abteilung durchgesetzt?
Was ist Qualität?,"Anforderungen an ein Produkt oder eine Prozessleistung, die durch Kunden gestellt werden -> unterschiedliche Kundensegmente i.d.R. mit unterschiedlichen Qualitätsanforderungen"
Was sind Techniken zur Sicherung der Qualität?,Six sigma; Total Quality Management (TQM)
Was kennzeichnet das Total Quality Management (TQM)?,"Entwickeln eines Bewusstseins für Kundenwünsche, Einführung einer Quality Vision für Mitarbeiter mit Belohnung für MA und Mgmt. für Hochqualitätsprodukte"
Was ist Six sigma?,"Ein statistischer Weg, um zu messen, dass die Qualität von Produkten einen Standard von 99,9997% einhält"
"Was sind Strategien, um Kosten besser zu minimieren und kontrollieren?",Outsourcing; Cloud Computing; On-demand computing; Downsizing
Was bedeutet Outsourcing?,Abagbe von Unternehmensaufgaben und -strukturen an Drittunternehmen
Was bedeutet Cloud-Computing?,"aus Technologiesicht: Art Service mit dynamisch skalierbaren Ressourcen (CPU Zeit, Speicher, Bandbreite), der als Dienstleistung über das Internet gelifert wird"
Was ist unter On-demand computing zu verstehen?,"Zur Verfügung Stellen von Computer Rechenzeit für ein Unternehmen variabel, je nach Bedarf des Unternehmens"
Was bedeutet Downsizing?,Reduzierung der Arbeitsplätze
Was ist unter Competitive Advantage (Wettbewerbsvorsprung) zu verstehen?,Signifikanter Vorsprung eines Unternehmens ggü. seinen Konkurrenten im ökonomischen Wettbewerb; Sichern und Halten eines Wettbewerbsvorteils => unerlässlich für den Erfolg eines Unternehmens
Was sind die 5 Kräfte des Wettbewerbs nach dem Five Forces Modell nach Porter?,Wettbewerbsrivalität; Verhandlungsstärke von Lieferanten; Verhandlungsstärke von Käufern; Bedrohung durch Substitute (Ersatzprodukte); Bedrohung durch neue Wettbewerber
Was sind mögliche Strategien zur Erzielung eines Wettbewerbsvorteils unter Berücksichtigung der 5 Markteinwirkungen von Porter?,"Beste Kosten für die Produkte (Aldi, Lidl); Differenzierung; Nischenstrategie (Rolex, Porsche, Ferrari); Ändern der Industriestruktur; Generierung neuer Produkte und Services; Verbessern existierender Produktlinien und Services"
"Was sind Werteversprechen eines Unternehmens, um im wettbewerb zu bestehen?",Schnell; Geschickt; Flexibel; Produktiv; Ökonomisch; Kundenorientiert
Was bedeutet Produktivität?,"Verhältnis zwischen dem, was produziert wird (Output) und den dafür beim Produktionsprozess eingesetzten Mitteln; = (Output/ Input)*100"
Was bedeutet eine hohe Produktivität?,Output > Input
Was misst der Return on Investment (ROI)?,den prozentualen Profit in Relation zum Investment für IT Technology
Wie wird der ROI berechnet?,(Profit/Investment) * 100
Durch welche Kenngrößen wird die Rentabilität und der Wert von Informationssystemen bestimmt?,Einkommenswachstum (meist im Vergleich zum Vorjahr); Marktanteil; Kundenbewusstsein und Zufriedenheit; Gesamtkosten über einen bestimmten Zeitraum (TCO)
"Warum müssen Manager beim Entwerfen, Entwickeln und Einführen neuer Informationssysteme Risiken berücksichtigen?",Informationssysteme ggf. fehlerhaft; Kosten für die Entwicklung und Einführung des Systems ggf. höher als die resultierenden Gewinne
Was sind Data Warehouses?,Dispositive Datenhaltungssysteme -> Werden von operativen Datenhaltungssystemen separat betrachtet
Durch welche Charakteristiken unterscheiden sich operative Daten von dispositiven Daten?,Ziel; Zustand; Modellierung; Zeitbezug; Ausrichtung
Was ist das Ziel von operativen Daten?,Unterstützung des Tagesgeschäfts
Was ist der Zustand von operativen Daten?,Häufig redundant und inkonsistent
Wie sind operative Daten modelliert?,Funktions- und transaktionsorientiert
Was ist der Zeitbezug bei operativen Daten?,Aktuell -> Zeitpunktbezogen
Was ist die Ausirchtung operativer Daten?,"Detaillierte, grnulare Geschäftsvorfallsdaten"
Was ist das Ziel dispositiver Daten?,Entscheidungsunterstützung
In welchem Zustand befinden sich dispositive Daten?,Kontrollierte Redundanzen
Wie werden dispositive Daten modelliert?,Sachgebiets- und Themenorientiert
Was ist der Zeitbezug bei dispositiven Daten?,Historienbetrachtung -> Zeitverlauf
Was ist die Ausirchtung von dispositiven Daten?,Meist verdichtet und transformiert
Was sind die Ziele von Data Warehouses?,effiziente Bereitstellung der Daten; einfaches Zusammenführen der Daten zu Analysezwecken; Unterstützung der Geschäftsprozesse eines Unternehmens; Abschaffung von Insellösungen
Aus welchen Komponenten besteht ein Data Warehouse System?,Basisdatenbank; Operational Data Store (ODS); Arbeitsbereich; Extraktion-Transformation-Laden (ETL-Komponente); Meta-Datenbanksystem; Analysekomponente
Was versteht man unter einem OLAP-Cube?,Ein mehrdimensionaler Datenwürfel
Was sind die 4 Hauptoperationen im Kontext von OLAP (= Online Analytical Processing)?,"Slicing, Dicing, Pivoting, Drilldown"
Was ist der Sinn der Operation Slicing im Kontext von OLAP?,Das Ausschneiden von Scheiben aus dem Datenwürfel
Was ist der Sinn der Operation Dicing im Kontext von OLAP?,"Erzeugen eines kleineren Würfels, der ein Teilvolumen des Gesamtwürfels enthält"
Was ist der Sinn der Operation Pivoting im Kontext von OLAP?,"Drehen des Datenwürfels, sodass mindestens eine andere Dimension sichtbar wird"
Was ist der Sinn der Operation Drilldown im Kontext von OLAP?,Hereinzoomen
Zwischen welchen 3 Handlungsebenen/ -dimensionen wird im Management bei klassischen Organisationsstrukturen differenziert?,Strategisch; Taktisch; Operativ
Was ist der Zeitbezug im strategischen Management?,Langfristig (> 3 Jahre)
Was ist der Zeitbezug im taktischen Management?,Mittelfristig (1 bis 3 Jahre)
Was ist der Zeitbezug im operativen Management?,< 1 Jahr
Was ist der überwiegende Wirkungsbereich im strategischen Management?,"Produktionsbereich(e) (Abteilung(en), gesamtes Unternehmen); Mitarbeitergruppen"
Was ist der überwiegende Wirkungsbereich im taktischen Management?,"Produktgruppe(n) (Basiseinheit(en), übergeordnete Einheit); Mitarbeitergruppen"
Was ist der überwiegende Wirkungsbereich im operativen Management?,"Leistung, Produkt (Stelle, Basiseinheit); Einzelne Mitarbeiter"
Wer ist für das strategische Management verantwortlich?,"Oberste Leitung, d.h. das Top-Management (Präsident/ Vorstand)"
Wer ist für das taktische Management verantwortlich?,"Mittlere Leitung, d.h. das Middle Management (Abteilungs-/ Referatsleiter)"
Wer ist für das operative Management verantwortlich?,"Untere Leitung/ Basis, d.h. das Lower Management bzw. die Ausführungsebene, wie z.B. Sachgebiets-/ Referatsleiter"
Welche Phasen gibt es bei der Teamfindung (chronologische Nennung)?,1.) Forming -> 2.) Storming -> 3.) Norming -> 4.) Performing -> 5.) Adjourning
Was passiert bei der Teamfindungsphase Forming?,Orientierung bzw. erstes Kennenlernen
Was passiert bei der Teamfindungsphase Storming?,Herstellen einer Rangordnung sowie Konfrontation
Was passiert bei der Teamfindungsphase Norming?,Organisation sowie Herstellen eines Konsens
Was passiert bei der Teamfindungsphase Performing?,Kooperation und konstruktives Arbeiten
Was passiert bei der Teamfindungsphase Adjourning?,Projektabschluss; Auseinandergehen des Teams
Was ist unter Business Rules zu verstehen?,"Regeln zur Steuerung und Organisation des Alltagsgeschäfts, d.h. Vorgabe des Wegs, wie ein Ziel erreicht werden soll"
Was sollen Business Rules beeinflussen oder leiten?,Das Verhalten eines Unternehmens
Welche 3 Kategorien von Business Rules gibt es?,Ableitungsregeln (Ableitung aus bereits bestehenden Regeln und Informationen); Prozessregeln (z.B. Wenn xyz dann abc); Einschränkungen (z.B. Gebote und Verbote)
Was sind erforderliche Eigenschaften von Business Rules?,präzise Formulierung; verständlich für Mitarbeiter; deklarativ
Wie sind Business Rules auszurichten?,Immer im Kontext zur Gesamtunternehmensausrichtung
Was ist der Sinn des Business Motivation Model (BMM)?,"Erklärung des Zusammenhangs zwischen Geschäftsregeln, der Geschäftspolitik und der Unternehmensstrategie"
Was ist das Cloud Computing aus technologischer Sicht?,"Eine Art von Service mit dynamisch skalierbaren Ressourcen (CPU Zeit, Speicher, Bandbreite etc.), der als Dienstleistung über das Internet geliefert wird"
Zwischen welchen 4 Bereitstellungsmodellen wird im Cloud Computing differenziert?,Private Cloud; Public Cloud; Hybrid Cloud; Community Cloud
Zwischen welchen 3 Service Modellen wird im Cloud Computing differenziert?,Infratsructure as a Service (IaaS); Platform as a Service (PaaS); Software as a Service (SaaS)
Was sind die wesentlichen Charakteristika des Cloud Computing?,Breiter Netzwerkzugriff; Self Service on-demand; Multitenancy; Schnelle Anpassungsfähigkeit; Messbarkeit der Dienstqualität
Welche Komponenten werden bei Infratsructure as a Service (IaaS) im Kontext des Cloud Computing bereitgestellt?,Hardware (Netzwerk; Speicher; Server; Virtualisierung)
Welche Komponenten werden bei Platform as a Service (PaaS) im Kontext des Cloud Computing bereitgestellt?,Hardware mit Betriebssystem (Netzwerk; Speicher; Server; Virtualisierung; Betriebssystem; Middleware; Laufzeit)
Welche Komponenten werden bei Software as a Service (SaaS) bereitgestellt?,Vollpaket (Netzwerk; Speicher; Server; Virtualisierung; Betriebssystem; Middleware; Laufzeit; Daten; Anwendungen)
Zwischen welchen Computerklassen wird i.d.R. differenziert?,Microcomputer; Minicomputer; Großrechner; Supercomputer
In welche 2 Kategorien wird Software klassifiziert?,"Systemsoftware (z.B. Steuerprogramme, Übersetzungsprogramme und Dienstprogramme) und Anwendungssoftware"
Welche Kategorien gibt es innerhalb der Anwendungssoftware (mit Beispielen)?,"Standardsoftware (Persönliche Anwendung, z.B. Textverarbeitung, und Kommerzielle Anwendungen, z.B. Finanzbuchhaltung); Branchensoftware (Baugewerbe; Reisebüros; Speditionen); Individualsoftware (Vorgabe durch Auftraggeber)"
"Welche Kombinationen von Betriebssystem, Computern und Software gibt es?",Einzelner Computer mit einem Nutzer; Einzelner Computer mit mehreren Nutzern; Mehrere Computer; Spezialcomputer
Zwischen welchen Datenbankmodellen ist zu differenzieren?,Hierarchische Datenbank; Netzwerk Datenbank; Relationale Datenbank; Objektorientierte Datenbank; Verteilte Datenbanken
Wie erfolgt die Datenmodellierung bei hierarchischen Datenbanken?,Als Baumstruktur
Welche Datenstruktur wird bei Netzwerk Datenbanken verwendet?,Graphen
Wie werden Daten in relationalen Datenbanken geordnet?,In Tabellen
Was ist bei objektorientierten Datenbanken zu beachten?,dauerhafte Speicherung der Objekte
Wie funktionieren verteilte Datenbanken?,Partitionierung logisch zusammengehöriger Daten in Fragmente und Verteilung dieser Fragmente auf Rechner
Was ist eine Datenbank?,Organisierte Sammlung von Daten
Was ist ein Datenbankmanagementsystem (DBMS)?,Verwaltungsprogramm zur Organisation der strukturierten Speicherung von Daten; Schnittstelle zwischen Datenbank und Benutzer
Was kontrolliert das Datenbankmanagementsystem?,Alle lesenden und schreibenden Zugriffe auf die Datenbank
Was ist der Datenbankadministrator (DBA)?,"ausgebildeter ISler, der alle Aktivitäten auf die Verantwortung für die Unternehmensdatenbank hat"
Was ist ein Bit (binary digit) im Kontext der Hierarchie von Daten?,"Kleinste Informationseinheit, die ein Computer darstellen kann"
Was ist ein Byte im Kontext der Hierarchie von Daten?,= 8 Bit
Was ist ein Charakter im Kontext der Hierarchie von Daten?,"Eine Eigenschaft (z.B. ein Großbuchstabe, ein Kleinbuchstabe, eine Zahl oder ein Symbol) repräsentiert durch ein Byte"
Was ist ein Datenfeld im Kontext der Hierarchie von Daten?,"i.d.R. ein Name, eine Zahl oder eine Kombination von Charakteren, die einen Aspekt der Unternehmensziele/ -aktivitäten beschreibt"
Was ist eine Record im Kontext der Hierarchie von Daten?,Sammlung von ähnlichen Datenfeldern
Was ist eine Datei im Kontext der Hierarchie von Daten?,Sammlung von ähnlichen Records
Was ist eine Entität im Kontext von Datenbanken?,"Objekt der Anschauung, dem bestimmte Eigenschaften zugeordnet werden (z.B. Mitarbeiter, Projekte)"
Was sind Attribute im Kontext von Datenbanken?,Eigenschaften einer Entität (z.B. Personalnummer eines Mitarbeiters)
Was ist ein Datenelement im Kontext von Datenbanken?,Spezieller Wert einer Eigenschaft
Was ist ein Schlüssel im Kontext von Datenbanken?,Ein Datenfeld in einer Record zur Bestimmung der Record
Was ist ein Primärschlüssel im Kontext von Datenbanken?,Feld zur einzigartigen Bestimmung einer Record
Welche Vorteile bieten Netzwerke ggü. einem Stand-alone PC?,u.a. Ressourcenteilung; Datenaustausch; Reduzierung von Übertragungsfehlern; Einheitliche Programmversionen; Kostenreduktion; Skalierbarkeit; Zentrale Datensicherung; erhöhte Zuverlässigkeit des Gesamtsystems
Was sind die Komponenten eines Rechnernetzwerks?,Hardware und Software
Welche Kategorien bzgl. Rechnernetze existieren anhand des Kriteriums der Ausbreitung des Rechnernetzes?,GAN; WAN; MAN; LAN; PAN 
Was verstehen Sie unter dem GAN im Kontext von Rechnernetzen?,= Global Area Network bzw. Internet
Was verstehen Sie unter dem WAN im Kontext ?,Wide Area Network für Weitverkehrsnetze
Was verstehen Sie unter dem MAN im Kontext von Rechnernetzen?,Metropolitan Area Network für Städte- und industriezntrenweite Netzwerke
Was verstehen Sie unter dem LAN im Kontext von Rechnernetzen?,Local Area Network für räumlich begrenzte Netze
Was verstehen Sie unter dem PAN im Kontext von Rechnernetzen?,Private Area Network für den privaten Verbraucher
Was sind die Distanz und die Lokation eines LAN?,Distanz: 100-1000 m & Lokation: Gebäude bzw. Campus
Was sind die Distanz und die Lokation eines MAN?,Distanz: 10 km & Lokation: Stadt
Was sind die Distanz und die Lokation eines WAN?,Distanz: 100-1.000 km & Lokation: Land bzw. Kontinent
Was sind die Distanz und die Lokation des Internets?,Distanz: 10.000 km & Lokation: Globus
Was sind die Aufgaben des Rechnungswesens,"Dokumentation, Information & Rechenschaftslegung, Kontrolle und Disposition."
Was sind die Bereiche des Rechnungswesens,"Buchführung, Statistik, Kosten-/Leistungsrechnung und Planung"
Was ist der Unterschied zwischen Finanzbuchhaltung und Kosten- & Leistungsrechnung,"Die Finanzbuchhaltung ist vorwiegend extern ausgerichtet. So ist es das Ziel, die gesetzlichen Vorschriften zu erfüllen. Es werden alle Geschäfts(vor-)fälle lückenlos und sachlich geordnet aufgezeichnet. Im Gegensatz ist die Kosten- und Leistungsrechnung vorwiegend intern ausgerichtet. So werden keine gesetzlichen Vorschriften beachtet."
Was ist eine elementare Regel für die Buchführung,"Keine Buchung ohne Beleg! Es muss der Vorgang, Datum und Betrag mittels Beleg dokumentiert werden."
Sind Gewerbetreibende Buchführungspflichtig,"Grundsätzlich Ja. Es gibt jedoch Ausnahmen: kein Handelsgewerbe i.S.v. §1 Abs.2 HGB, (nur Einzelkaufleute): Gewinn-/ Umsatzgrenzen unterschritten nach §141 HGB (60 TEUR bzw. 600TEUR), Umsatzgrenzen unterschreiten nach §141 AO (60TEUR bzw. 600TEUR)"
Sind Freiberufler Buchführungspflichtig,Nein (unabhängig von Umsatz und Gewinn). Freiberufler sind die in §18 Abs.1 Nr.1 EStG genannten Selbstständigen.
Sind Gesellschaften Buchführungspflichtig,"Abhängig von der Gesellschaftsform. Buchführungspflicht aufgrund der Gesellschaftsform: AG, GmbH, KGaA, eG, OHG, KG. Buchführungspflicht eventuell aus anderen Gründen: GbR, PartG"
Sind Land- und Forstwirte Buchführungspflichtig,Bei Überschreitung von Gewinn- und Umsatzgrenzen nach §141 AO (60TEUR bzw. 600TEUR). Bei einem Wirtschaftswert der Fläche über 25 TEUR
Was sind die Grundsätze von ordnungsgemäßer Buchführung,"Klar und übersichtlich, Keine Buchung ohne Beleg, Ordnungs- und wahrheitsgemäße Erfassung aller Geschäftsvorfälle, Ordnungsgemäße Aufbewahrung der Buchführungsunterlagen"
Welche Inventurverfahren gibt es,"Körperliche Inventur, Buchinventur, Anlageinventur "
Was umfasst die Körperliche Inventur,"z.B. Maschinen, Erzeugnisse oder Barmittel"
Was umfasst die Buchinventur,"z.B. Bankkonten, Forderungen, Schulden oder Anlageverzeichnisse"
Welche Inventurarten gibt es,"Stichprobeninventur, Permanente Inventur und Vor- oder nachverlegte Stichtagsinventur"
Was sind die Grundsätze von ordnungsgemäßer Buchführung,"Klar und übersichtlich, Keine Buchung ohne Beleg, Ordnungs- und wahrheitsgemäße Erfassung aller Geschäftsvorfälle, Ordnungsgemäße Aufbewahrung der Buchführungsunterlagen"
Welches Ziel hat eine Inventur,Feststellen des Vermögens und der Schulden
Wann muss eine Inventur durchgeführt werden,"Bei Gründung oder Übernahme eines Unternehmens, für den Schluss eines jeden Geschäftsjahre (meist 31.12) und bei Auflösung oder Veräußerung eines Unternehmens"
Welche Aspekte werden bei der Bilanz gegeneinander gestellt,Aktiva (Vermögen) und Passiva (Kapital)
Wie sieht das Gliederungsschema gemäß § 266 HGB aus,"Aktiva = A. Anlagevermögen(I. Immaterielle Vermögensgegenstände, II. Sachanlagen, III: Finanzanlagen), B. Umlaufvermögen(I. Vorräte, II. Forderungen und sonstige Vermögensgegenstände, III. Wertpapiere, IV. Kassenbestand), C. Rechnungsabgrenzungsposten, D. Aktive latente Steuern, E. Aktiver Unterschiedsbetrag aus der Vermögensverrechnung und Passiva = A. Eigenkapital(I. Gezeichnetes Kapital, II. Kapitalrücklage, III. Gewinnrücklagen, IV. Gewinn-/Verlustvortrag, V. Jahresüberschuss/-fehlbetrag), B. Rückstellungen, C. Verbindlichkeiten, D. Rechnungsabgrenzungsposten, E. Passive latente Steuern"
Unterschiede zwischen Inventar oder Bilanz,"Inventar = Ausführliche Darstellung der einzelnen Vermögensgegenstände und Schuldenwerte. Angabe der Mengen, Einzelwerte und Gesamtwerte. Darstellung des Vermögens und des Kapitals untereinander: Staffelfrom. Bilanz = Kurz gefasste überschaubare Darstellung des Vermögens und des Kapitals. Nur Angabe der Gesamtwerte der einzelnen Bilanzpositionen. Darstellung des Vermögens und des Kaptials nebeneinander: Kontenform"
Wertveränderungen in der Bilanz => Aktivtausch,"Ein Aktivkonto nimmt um den Betrag ab, um den ein anderes Aktivkonto zunimmt. Bilanzsumme konstant. Bsp. Bareinkauf von Waren"
Wertveränderungen in der Bilanz => Passivtausch,"Ein Passivkonto nimmt um den Betrag ab, um den ein anderes Passivkonto zunimmt. Bilanzsumme konstant. Bsp. Lieferantenschuld wird durch Aufnahme eines Darlehens beglichen"
Wertveränderungen in der Bilanz => Aktiv-/Passivermehrung,Ein Aktiv- und ein Passivkonto nehmen um den gleichen Betrag zu. Bilanzsumme erhöht sich -> Bilanzverlängerung. Bsp. Kauf von Rohstoffen bei einem Lieferanten auf Rechnung
Wertveränderungen in der Bilanz => Aktiv-/Passivminderung,Ein Aktiv- und ein Passivkonto nehmen um den gleichen Betrag ab. Bilanzsumme vermindert sich -> Bilanzverkürzung. Bsp. Darlehen wird durch Banküberweisung getilgt
Wie wird die Bilanz in Bestandskonten aufgelöst,Aktiva aus der Bilanz -> Anfangsbestand auf dem Sollbereich der Aktivkonten und Passivia -> Anfangsbestand auf dem Habenbereich der Passivkonten
Wie ist ein Buchungssatz aufgebaut?,"IMMER: Soll an Haben buchen. Ein Buchungssatz gibt die Sachkonten an, auf denen im Soll bzw. Haben zu buchen ist. Zuerst das Konto, auf das im Soll gebucht wird, danach das Konto was im Haben gebucht wird. Beide werden durch das Word an verbunden. Buchung auf der einen Seite eines Kontos erfordert eine Gegenbuchung auf der anderen Seite eines andern Kontos in gleicher Höhe, so dass immer mindestens zwei Konten angesprochen werden."
Was ist vor jeder Buchung zu überlegen,1. Welche Konten werden benötigt? 2. Handelt es sich um Aktiv- oder Passivkonten? 3. Nehmen die Konten zu oder ab? 4. Auf welcher Seite nehmen sie zu oder ab? 4. Auf welcher Seite nehmen sie zu oder ab? 5. Erst SOLL dann HABEN
Wie ist die Reihenfolge der Buchungsarbeiten,"1. Eröffnungsbilanz aufstellen, 2. Anfangsbestände auf Aktiv- und Passivkonten vortragen, 3. Geschäftsfälle auf den entsprechenden Bestandskonten buchen, 4. Schlussbestände (Salden) auf den Aktiv- und Passivkonten ermitteln.(mit den Inventurwerten abstimmen und bei Abweichungen Inventurdifferenzen korrigieren), 5. Konten abschließen, 6. Schlussbilanz erstellen"
Was ist der Unterschied zwischen Bestandskonten und Erfolgskonten,"Bestandskonten weisen Bestände an Vermögen und Kapital aus und erfassen deren Veränderungen. Erfolgskonten sind Aufwands- und Ertragskonten, die das Eigenkapital mindern oder erhöhen. Sie haben Einfluss auf die Höhe des Gewinns."
Nennen Sie jeweils drei Beispiele für Bestands- und Erfolgskonten,"Bestandskonten: BGA, Maschinen, Vorräte, Forderungen, Bank, Verbindlichkeiten Erfolgskonten: Materialaufwand, Personalaufwand, Zinsaufwand, Mietaufwand, Umsatzerlöse"
Wie kann sich der Wert von Sachanlagen mindern,"Durch Nutzung (Gebrauch), natürliche Verschleiß, technischen Fortschritt, außergewöhnliche Ereignisse (z.B. Brand)"
Welche Arten gibt es für Abschreibungen,Lineare Abschreibung und Degressive Abschreibung
Wie unterscheiden sich die unterschiedlichen Abschreibungen,"Lineare Abschreibung -> jährlich gleichbleibende Abschreibungsbeträge, Abschreibungsbetrag ermittelt sich von den Anschaffungskosten, Nach Ablauf der Nutzungsdauer ist der Buchwert gleich Null, sollte sich das Anlagengut danach weiterhin im Betrieb befinden, ist es mit einem Erinnerungswert von 1 EUR im Anlagenkonto auszuweisen Degressive Abschreibung -> jährlich fallende Abschreibungsbeträge, Abschreibungsbetrag ermittelt sich im 1.Jahr anhand der Anschaffungskosten, In den Folgejahren anhand des jeweiligen Buch- oder Restwertes, Nullwert des Anlagegutes wird nach Ablauf der Nutzungsdauer nie erreicht, Abschreibungssatz sollte daher höher sein als bei der linearen Abschreibung, dadurch wird Wertminderungen durch technischen Fortschritt Rechnung getragen"
"Wie setzen sich die Gesamtkosten zusammen, die abgeschrieben werden müssen",Gesamtkosten = Anschaffungspreis + Anschaffungsnebenkosten - Anschaffungspreisminderungen + nachträgliche Anschaffungskosten
Wie wird der Mehrbestand definiert,"Herstellungsmenge > Absatzmenge = Bestandsmehrung. Bestandsmehrung entsteht, wenn in einem GJ mehr Erzeugnisse hergestellt als verkauft wurden. Mehrbestand wird im GuV-Konto als Ertrag den Herstellungsaufwendungen gegenübergestellt."
